Entry	Entry Name
A0A068B6Q6	CA18_CONBE
A0A0D4WTV1	B1D1_LOXAR
A2TK72	VM3A2_DEIAC
A5YVK8	ERVA_TABDI
A6XH06	SABS1_SALPM
B1P1F5	JZT32_CHIGU
B3A0N3	PA2B3_BOTMA
B3EWP6	PA2_LACMR
B5AR80	OXLA_BOTPA
B5LUQ7	FALX3_LITFA
B8QCG6	NGFV_AGKCO
C0HJG9	ANXA2_MESAU
C0HJQ3	H2A_ACIGU
C0HJU3	PA2A1_BOTPA
C0HK05	PA2BC_CROOL
C0HLF7	PA2B_OPHSH
C0HLV6	LACS_TRAHI
C0HLV7	LACF_GANAU
C0HM14	PA2BD_CRODU
C0HM68	5BPIA_HETMG
C0HM96	TXVE_CRODU
C7E9W0	SCH21_STACH
C7S340	CABC2_PROVU
D0VWR8	PSBD_THEVL
D4YWD1	TPF_PELSA
E9LVH9	PETH2_THECS
F1NBL0	MUC6_CHICK
G0LXV8	LATA_LATHA
G3XAP7	LP9A_THEAU
H2ELN1	TER_NICLA
H8ZM70	LAS_ABIBA
H9T8G6	CDIA9_BURPE
K4LLQ2	VSP_BOTBA
K8DWB5	CA1D_CONTE
M0R8U1	DYH5_RAT
N0A5N4	VAE2_GLOHA
O02827	MYLK_SHEEP
O08615	OXLA_MUSSP
O13147	EPHB3_DANRE
O13148	EPA4A_DANRE
O16076	HSP83_DROPE
O18866	KCMA1_PIG
O18867	KCMA1_MACMU
O18964	SYNJ1_BOVIN
O35116	CTND2_RAT
O35750	SHOX2_RAT
O43948	PK4_PLAFA
O55036	TERF1_CRIGR
O55075	CADH2_CRIGR
O57672	G3P_MELGA
O62846	KAPCG_MACMU
O66200	CH60_ENTAG
O73693	EGR1_TAEGU
O73707	CAC1C_CHICK
O73792	TIE1_DANRE
O77503	AGO2_RABIT
O77811	TRFL_HORSE
O88902	PTN23_RAT
O89042	DPOLA_RAT
O93574	RELN_CHICK
O97531	KCNQ1_FELCA
P00594	PA21B_HORSE
P00627	PA2B6_BUNFA
P00628	PA2BV_BUNFA
P00629	PA2B3_BUNFA
P00745	PROC_BOVIN
P00981	VKTHK_DENPO
P01485	SCX3_BUTOC
P01895	HA1Y_MOUSE
P02460	CO2A1_CHICK
P02562	MYSS_RABIT
P02674	FIBA1_PETMA
P03155	DPOL_HBVD1
P03318	POLN_MIDDV
P03360	POL_AVIRE
P04227	HA2Q_MOUSE
P04366	AMBP_PIG
